SerialNumber,ProductID,ProductName,PurchaseDate,CustomerID,QuantitySold,SalesPrice,SalesChannel,Region,DiscountApplied,Returns,CustomerReview,CustomerComplaints,SalesReputation,TimeToActivation,ProductAge,MarketingSource,CustomerLoyalty,PaymentMethod,ProductReturnReason,CustomerSupportInteraction,ProductWarrantyDuration
SNSXFVEQXOG,9OUYH0,Adobe_9OUYH0_Suite,2023-09-20,C6902,5,116.47,Unknown Vendor,Asia,20.5,16,3,10,7,8,234,Social Media,2,Cryptocurrency,Product malfunction,20,6
Sn-E326YMIY,35KMUU,Adobe_35KMUU_Suite,2023-01-26,C6158,5,61.01,Third-party Retailer,North America,21.65,17,1,11,8,8,351,Social Media,1,Cryptocurrency,Not as described,19,6
Sn-6C4Y7G7P,0VY19B,Adobe_0VY19B_Suite,2023-03-28,C7619,1,70.61,Third-party Retailer,Africa,21.32,10,2,12,8,13,327,Word of Mouth,4,Cryptocurrency,Not as described,13,6
SN-31QFSVO,45G3LD,Adobe_45G3LD_Suite,2023-02-01,C1452,7,79.34,Unknown Vendor,North America,27.91,13,3,20,7,1,77,Word of Mouth,2,Cryptocurrency,Product malfunction,17,6
SN-AA0HJ8KO,Adobe_Prod_442_Version_1,Adobe_Adobe_Prod_442_Version_1_Suite,2023-10-12,C9811,9,265.88,Unknown Vendor,South America,14.03,10,5,5,9,2,374,Email Marketing,8,Credit Card,Found cheaper,4,12
SN-BRO39Z6W,Adobe_Prod_983_Version_2,Adobe_Adobe_Prod_983_Version_2_Suite,2023-09-29,C1770,9,283.94,Authorized Retailer,Europe,7.54,9,4,4,3,3,530,Direct Search,8,Credit Card,Other,2,24
SN-H1P3UBGF,Adobe_Prod_173_Version_7,Adobe_Adobe_Prod_173_Version_7_Suite,2023-09-24,C4151,3,207.49,Unknown Vendor,Africa,5.63,10,4,3,9,6,682,Direct Search,6,PayPal,Found cheaper,3,24
SN-2I4YYCE2,Adobe_Prod_163_Version_4,Adobe_Adobe_Prod_163_Version_4_Suite,2023-06-08,C8510,4,467.97,Direct Sales,North America,14.4,3,4,3,9,7,561,Email Marketing,7,Credit Card,Found cheaper,10,12
SNVPJ84A724,NV2SJO,Adobe_NV2SJO_Suite,2023-12-25,C9049,9,111.01,Unknown Vendor,Asia,21.76,15,2,16,1,10,247,Word of Mouth,4,Cryptocurrency,Other,19,6
SN-PICBZPZ0,Adobe_Prod_4_Version_5,Adobe_Adobe_Prod_4_Version_5_Suite,2023-02-25,C5998,4,312.91,Authorized Retailer,Europe,14.08,7,4,3,8,7,415,Email Marketing,8,PayPal,Found cheaper,3,24
